Name,Label,Canton_name
Interlaken,16,Bern
Inwil,4,Luzern
Ipsach,16,Bern
Iragna,12,Lugano
Iseltwald,16,Bern
Isenthal,7,Rapperswil-Jona
Islisberg,5,Zürich
Isone,12,Lugano
Isorno,12,Lugano
Isérables,6,Sion
Itingen,3,Basel
Ittigen,16,Bern
Jaberg (Urne commune),16,Bern
Jaun,19,Fribourg
Jegenstorf,16,Bern
Jenaz,15,Chur
Jenins,15,Chur
Jens,16,Bern
Jeuss,19,Fribourg
Jonen,20,Aarau
Jongny,19,Fribourg
Jonschwil,21,St. Gallen
Jorat-Menthue,9,Lausanne
Jouxtens-Mézery,9,Lausanne
Juriens,9,Lausanne
Jussy,10,Genève
Kaiseraugst,3,Basel
Kaiserstuhl,5,Zürich
Kaisten,20,Aarau
Kallern,20,Aarau
Kallnach,16,Bern
Kaltbrunn,21,St. Gallen
Kammersrohr,13,Solothurn
Kandergrund,16,Bern
Kandersteg,16,Bern
Kappel (SO),13,Solothurn
Kappel am Albis,5,Zürich
Kappelen,16,Bern
Kaufdorf,16,Bern
Kehrsatz,16,Bern
Kemmental,23,Frauenfeld
Kernenried,16,Bern
Kerns,4,Luzern
Kerzers,16,Bern
Kesswil,23,Frauenfeld
Kestenholz,13,Solothurn
Kienberg,20,Aarau
Kiesen,16,Bern
Kilchberg (BL),3,Basel
Kilchberg (ZH),5,Zürich
Killwangen,20,Aarau
Kippel,6,Sion
Kirchberg (BE),16,Bern
Kirchberg (SG),21,St. Gallen
Kirchdorf (BE) (Urne commune),16,Bern
Kirchenthurnen,16,Bern
Kirchleerau,20,Aarau
Kirchlindach,16,Bern
Kleinandelfingen,5,Zürich
Kleinbösingen,19,Fribourg
Kleinlützel,3,Basel
Klingnau,20,Aarau
Klosters-Serneus,15,Chur
Kloten,5,Zürich
Knonau,5,Zürich
Knutwil,4,Luzern
Koblenz,20,Aarau
Konolfingen,16,Bern
Koppigen,16,Bern
Kradolf-Schönenberg,23,Frauenfeld
Krattigen,16,Bern
Krauchthal,16,Bern
Kreuzlingen,23,Frauenfeld
Kriechenwil,19,Fribourg
Kriegstetten,16,Bern
Kriens,4,Luzern
Kyburg,5,Zürich
Känerkinden,3,Basel
Kölliken,20,Aarau
Köniz,16,Bern
Küblis,15,Chur
Künten,20,Aarau
Küsnacht (ZH),5,Zürich
Küssnacht (SZ),4,Luzern
Küttigen,20,Aarau
L'Abbaye,9,Lausanne
L'Abergement,9,Lausanne
L'Isle,9,Lausanne
La Baroche,18,Delémont
La Brillaz,19,Fribourg
La Brévine,24,La Chaux-de-Fonds
La Chaux (Cossonay),9,Lausanne
La Chaux-de-Fonds,24,La Chaux-de-Fonds
La Chaux-des-Breuleux,18,Delémont
La Chaux-du-Milieu,24,La Chaux-de-Fonds
La Côte-aux-Fées,24,La Chaux-de-Fonds
La Ferrière,24,La Chaux-de-Fonds
La Folliaz,19,Fribourg
La Neuveville,24,La Chaux-de-Fonds
La Praz,9,Lausanne
La Punt-Chamues-ch,15,Chur
La Rippe,9,Lausanne
La Roche,19,Fribourg
La Sagne,24,La Chaux-de-Fonds
La Sarraz,9,Lausanne
La Sonnaz,19,Fribourg
La Tour-de-Peilz,19,Fribourg
La Tène,24,La Chaux-de-Fonds
La Verrerie,19,Fribourg
Laax,15,Chur
Lachen,7,Rapperswil-Jona
Laconnex,10,Genève
Lajoux (JU),18,Delémont
Lalden,6,Sion
Lamone,12,Lugano
Lampenberg,3,Basel
Lancy,10,Genève
Landiswil,16,Bern
Landquart,15,Chur
Langenbruck,13,Solothurn
Langendorf,13,Solothurn
Langenthal,16,Bern
Langnau am Albis,5,Zürich
Langnau im Emmental,16,Bern
Langrickenbach,23,Frauenfeld
Lantsch/Lenz,15,Chur
Lauenen,6,Sion
Lauerz,4,Luzern
Laufen,3,Basel
Laufen-Uhwiesen,22,Schaffhausen
Laufenburg,20,Aarau
Laupen,19,Fribourg
Laupersdorf,13,Solothurn
Lauperswil,16,Bern
Lausanne,9,Lausanne
Lausen,3,Basel
Lauterbrunnen,16,Bern
Lauwil,13,Solothurn
Lavertezzo,12,Lugano
Lavey-Morcles,6,Sion
Lavigny,9,Lausanne
Lavizzara,12,Lugano
Lax,6,Sion
Le Bémont (JU),18,Delémont
Le Cerneux-Péquignot,24,La Chaux-de-Fonds
Le Chenit,9,Lausanne
Le Châtelard,19,Fribourg
Le Flon,19,Fribourg
Le Glèbe,19,Fribourg
Le Grand-Saconnex,10,Genève
Le Landeron,24,La Chaux-de-Fonds
Le Lieu,9,Lausanne
Le Locle,24,La Chaux-de-Fonds
Le Mont-sur-Lausanne,9,Lausanne
Le Mouret,19,Fribourg
Le Noirmont,24,La Chaux-de-Fonds
Le Pâquier (FR),19,Fribourg
Le Vaud,9,Lausanne
Leggia,15,Chur
Leibstadt,20,Aarau
Leimbach (AG),20,Aarau
Leissigen,16,Bern
Lengnau (AG),20,Aarau
Lengnau (BE),16,Bern
Lengwil,23,Frauenfeld
Lenk,6,Sion
Lens,6,Sion
Lenzburg,20,Aarau
Les Agettes,6,Sion
Les Bois,24,La Chaux-de-Fonds
Les Brenets,24,La Chaux-de-Fonds
Les Breuleux,18,Delémont
Les Clées,9,Lausanne
Les Enfers,18,Delémont
Les Genevez (JU),18,Delémont
Les Montets,19,Fribourg
Les Planchettes,24,La Chaux-de-Fonds
Les Ponts-de-Martel,24,La Chaux-de-Fonds
Les Verrières,24,La Chaux-de-Fonds
Leuggern,20,Aarau
Leuk,6,Sion
Leukerbad,6,Sion
Leutwil,20,Aarau
Leuzigen,13,Solothurn
Leysin,6,Sion
Leytron,6,Sion
Lichtensteig,21,St. Gallen
Liddes,6,Sion
Liedertswil,3,Basel
Liesberg,3,Basel
Liestal,3,Basel
Ligerz,24,La Chaux-de-Fonds
Lignerolle,9,Lausanne
Lignières,24,La Chaux-de-Fonds
Lindau,5,Zürich
Linden,16,Bern
Linescio,12,Lugano
Locarno,12,Lugano
Lodrino,12,Lugano
Lohn (GR),15,Chur
Lohn (SH),22,Schaffhausen
Lohn-Ammannsegg,13,Solothurn
Lohnstorf,16,Bern
Lommis,23,Frauenfeld
Lommiswil,13,Solothurn
Lonay,9,Lausanne
Longirod,9,Lausanne
Losone,12,Lugano
Lostallo,15,Chur
Lostorf,13,Solothurn
Lotzwil,16,Bern
Lovatens,19,Fribourg
Loveresse,18,Delémont
Lucens,9,Lausanne
Lufingen,5,Zürich
Lugano,12,Lugano
Lugnez,18,Delémont
Luins,9,Lausanne
Lully (FR),19,Fribourg
Lully (VD),9,Lausanne
Lumino,12,Lugano
Lumnezia,15,Chur
Lungern,1,Sachseln
Lupfig,20,Aarau
Lupsingen,3,Basel
Lurtigen,19,Fribourg
Lussery-Villars,9,Lausanne
Lussy-sur-Morges,9,Lausanne
Luterbach,13,Solothurn
Luthern,16,Bern
Lutry,9,Lausanne
Lutzenberg,21,St. Gallen
Luzein,15,Chur
Luzern,4,Luzern
Lyss,16,Bern
Lyssach,16,Bern
