Name,Label,Canton_name
Twann-Tüscherz,16,Köniz
Tägerig,20,Zürich
Tägertschi,16,Köniz
Tägerwilen,23,Frauenfeld
Täsch,6,Sion
Täuffelen,19,Bern
Tévenon,24,La Chaux-de-Fonds
Törbel,6,Sion
Tübach,23,Frauenfeld
Udligenswil,4,Luzern
Ueberstorf,16,Köniz
Uebeschi,16,Köniz
Ueken,20,Zürich
Uerkheim,16,Köniz
Uesslingen-Buch,23,Frauenfeld
Uetendorf,16,Köniz
Uetikon am See,5,Winterthur
Uezwil,20,Zürich
Ufhusen,4,Luzern
Uitikon,5,Winterthur
Ulmiz,9,Lausanne
Unterbäch,6,Sion
Untereggen,21,St. Gallen
Unterengstringen,5,Winterthur
Unterentfelden,3,Basel
Unteriberg,21,St. Gallen
Unterkulm,20,Zürich
Unterlangenegg,16,Köniz
Unterlunkhofen,5,Winterthur
Unterramsern,16,Köniz
Unterschächen,21,St. Gallen
Unterseen,16,Köniz
Untersiggenthal,5,Winterthur
Unterstammheim,23,Frauenfeld
Untervaz,21,St. Gallen
Unterägeri,21,St. Gallen
Urdorf,5,Winterthur
Urmein,15,Uzwil
Urnäsch,7,Kriens
Ursenbach,16,Köniz
Ursins,9,Lausanne
Ursy,9,Lausanne
Urtenen-Schönbühl,16,Köniz
Uster,5,Winterthur
Uttigen,16,Köniz
Uttwil,23,Frauenfeld
Utzenstorf,16,Köniz
Uznach,7,Kriens
Uzwil,15,Uzwil
Vacallo,12,Lugano
Val Müstair,15,Uzwil
Val Terbi,16,Köniz
Val-d'Illiez,6,Sion
Val-de-Charmey,19,Bern
Val-de-Ruz,24,La Chaux-de-Fonds
Val-de-Travers,24,La Chaux-de-Fonds
Valangin,24,La Chaux-de-Fonds
Valbirse,16,Köniz
Valbroye,19,Bern
Valeyres-sous-Montagny,24,La Chaux-de-Fonds
Valeyres-sous-Rances,9,Lausanne
Valeyres-sous-Ursins,9,Lausanne
Vallon,19,Bern
Vallorbe,9,Lausanne
Vals,15,Uzwil
Valsot,15,Uzwil
Vandoeuvres,10,Genève
Varen,6,Sion
Vaulion,9,Lausanne
Vaulruz,6,Sion
Vaumarcus,24,La Chaux-de-Fonds
Vaux-sur-Morges,9,Lausanne
Vaz/Obervaz,15,Uzwil
Vechigen,16,Köniz
Vellerat,18,Delémont
Veltheim (AG),20,Zürich
Vendlincourt,18,Delémont
Venthône,6,Sion
Verdabbio,15,Uzwil
Vergeletto,16,Köniz
Vernate,12,Lugano
Vernay,9,Lausanne
Vernayaz,6,Sion
Vernier,10,Genève
Versoix,9,Lausanne
Vevey,9,Lausanne
Vex,6,Sion
Veyras,6,Sion
Veyrier,10,Genève
Veysonnaz,6,Sion
Veytaux,19,Bern
Vezia,12,Lugano
Vich,9,Lausanne
Vico Morcote,12,Lugano
Villarepos,19,Bern
Villars-Epeney,9,Lausanne
Villars-Sainte-Croix,9,Lausanne
Villars-le-Comte,9,Lausanne
Villars-le-Terroir,24,La Chaux-de-Fonds
Villars-sous-Yens,9,Lausanne
Villars-sur-Glâne,9,Lausanne
Villarsel-sur-Marly,9,Lausanne
Villarzel,19,Bern
Villaz-Saint-Pierre,9,Lausanne
Villeneuve (FR),9,Lausanne
Villeneuve (VD),6,Sion
Villeret,16,Köniz
Villigen,5,Winterthur
Villmergen,4,Luzern
Villnachern,20,Zürich
Villorsonnens,19,Bern
Vilters-Wangs,21,St. Gallen
Vinelz,16,Köniz
Vinzel,9,Lausanne
Vionnaz,6,Sion
Visp,6,Sion
Visperterminen,6,Sion
Vitznau,21,St. Gallen
Vogorno,12,Lugano
Volken,5,Winterthur
Volketswil,5,Winterthur
Vollèges,6,Sion
Vordemwald,16,Köniz
Vorderthal,25,Glarus Nord
Vouvry,6,Sion
Vuadens,6,Sion
Vuarrens,9,Lausanne
Vucherens,9,Lausanne
Vufflens-la-Ville,9,Lausanne
Vufflens-le-Château,9,Lausanne
Vugelles-La Mothe,24,La Chaux-de-Fonds
Vuissens,19,Bern
Vuisternens-devant-Romont,19,Bern
Vuisternens-en-Ogoz,9,Lausanne
Vuiteboeuf,9,Lausanne
Vulliens,9,Lausanne
Vullierens,9,Lausanne
Vully-les-Lacs,19,Bern
Vérossaz,6,Sion
Vétroz,6,Sion
Wachseldorn,16,Köniz
Wagenhausen,23,Frauenfeld
Wahlen,13,Zuchwil
Walchwil,7,Kriens
Wald (AR),21,St. Gallen
Wald (BE),16,Köniz
Wald (ZH),7,Kriens
